source,target,embedding_score
",",estaba,-0.12354
",",vacía,-0.12354
",",",",0.1401
",",oscuridad,0.2294
",",cubría,-0.12354
",",las,0.2456
",",aguas,0.2456
",",profundas,-0.12354
",",;,0.157
",",el,-0.001955
",",espíritu,-0.12354
",",de,0.3462
",",dios,0.4749
",",se,0.0923
",",movía,-0.12354
",",en,-0.1722
",",aire,-0.12354
",",sobre,-0.12354
",",superficie,-0.12354
",",.,0.3652
void,la,-0.2307
void,tierra,-0.11694
void,no,0.6934
void,tenía,0.6934
void,forma,0.6934
void,y,-0.1049
void,estaba,0.6934
void,vacía,0.6934
void,",",-0.0687
void,oscuridad,0.082
void,cubría,0.6934
void,las,0.005844
void,aguas,0.005844
void,profundas,0.6934
void,;,0.1195
void,el,0.0336
void,espíritu,0.6934
void,de,-0.11035
void,dios,-0.1827
void,se,0.2251
void,movía,0.6934
void,en,0.2042
void,aire,0.6934
void,sobre,0.6934
void,superficie,0.6934
void,.,-0.1049
;,la,-0.2307
;,tierra,-0.11694
;,no,0.6934
;,tenía,0.6934
;,forma,0.6934
;,y,-0.1049
;,estaba,0.6934
;,vacía,0.6934
;,",",-0.0687
;,oscuridad,0.082
;,cubría,0.6934
;,las,0.005844
;,aguas,0.005844
;,profundas,0.6934
;,;,0.1195
;,el,0.0336
;,espíritu,0.6934
;,de,-0.11035
;,dios,-0.1827
;,se,0.2251
;,movía,0.6934
;,en,0.2042
;,aire,0.6934
;,sobre,0.6934
;,superficie,0.6934
;,.,-0.1049
darkness,la,0.2153
darkness,tierra,-0.1381
darkness,no,0.082
darkness,tenía,0.082
darkness,forma,0.082
darkness,y,0.234
darkness,estaba,0.082
darkness,vacía,0.082
darkness,",",0.1174
darkness,oscuridad,0.6934
darkness,cubría,0.082
darkness,las,-0.09955
darkness,aguas,-0.09955
darkness,profundas,0.082
darkness,;,-0.1584
darkness,el,0.1669
darkness,espíritu,0.082
darkness,de,0.1256
darkness,dios,0.1788
darkness,se,0.322
darkness,movía,0.082
darkness,en,-0.01973
darkness,aire,0.082
darkness,sobre,0.082
darkness,superficie,0.082
darkness,.,0.234
upon,la,-0.2307
upon,tierra,-0.11694
upon,no,0.6934
upon,tenía,0.6934
upon,forma,0.6934
upon,y,-0.1049
upon,estaba,0.6934
upon,vacía,0.6934
upon,",",-0.0687
upon,oscuridad,0.082
upon,cubría,0.6934
upon,las,0.005844
upon,aguas,0.005844
upon,profundas,0.6934
upon,;,0.1195
upon,el,0.0336
upon,espíritu,0.6934
upon,de,-0.11035
upon,dios,-0.1827
upon,se,0.2251
upon,movía,0.6934
upon,en,0.2042
upon,aire,0.6934
upon,sobre,0.6934
upon,superficie,0.6934
upon,.,-0.1049
face,la,-0.2307
face,tierra,-0.11694
face,no,0.6934
face,tenía,0.6934
face,forma,0.6934
face,y,-0.1049
face,estaba,0.6934
face,vacía,0.6934
face,",",-0.0687
face,oscuridad,0.082
face,cubría,0.6934
face,las,0.005844
face,aguas,0.005844
face,profundas,0.6934
face,;,0.1195
face,el,0.0336
face,espíritu,0.6934
face,de,-0.11035
face,dios,-0.1827
face,se,0.2251
face,movía,0.6934
face,en,0.2042
face,aire,0.6934
face,sobre,0.6934
face,superficie,0.6934
face,.,-0.1049
of,la,0.01599
of,tierra,0.141
of,no,0.2094
of,tenía,0.2094
of,forma,0.2094
of,y,-0.1527
of,estaba,0.2094
of,vacía,0.2094
of,",",0.1393
of,oscuridad,-0.02171
of,cubría,0.2094
of,las,0.2932
of,aguas,0.2932
of,profundas,0.2094
of,;,0.3364
of,el,-0.1006
of,espíritu,0.2094
of,de,0.2062
of,dios,0.03973
of,se,0.005844
of,movía,0.2094
of,en,0.02887
of,aire,0.2094
of,sobre,0.2094
of,superficie,0.2094
of,.,-0.1527
deep,la,-0.2307
deep,tierra,-0.11694
deep,no,0.6934
deep,tenía,0.6934
deep,forma,0.6934
deep,y,-0.1049
deep,estaba,0.6934
deep,vacía,0.6934
deep,",",-0.0687
deep,oscuridad,0.082
deep,cubría,0.6934
deep,las,0.005844
deep,aguas,0.005844
deep,profundas,0.6934
deep,;,0.1195
deep,el,0.0336
deep,espíritu,0.6934
deep,de,-0.11035
deep,dios,-0.1827
deep,se,0.2251
deep,movía,0.6934
deep,en,0.2042
deep,aire,0.6934
deep,sobre,0.6934
deep,superficie,0.6934
deep,.,-0.1049
.,no,-0.1827
.,tenía,-0.1827
.,forma,-0.1827
.,estaba,-0.1827
.,vacía,-0.1827
.,oscuridad,0.1788
.,cubría,-0.1827
.,las,0.1946
.,aguas,0.1946
.,profundas,-0.1827
.,;,0.0629
.,espíritu,-0.1827
.,de,0.2527
.,se,0.0874
.,movía,-0.1827
.,aire,-0.1827
.,sobre,-0.1827
.,superficie,-0.1827
spirit,la,-0.2307
spirit,tierra,-0.11694
spirit,no,0.6934
spirit,tenía,0.6934
spirit,forma,0.6934
spirit,y,-0.1049
spirit,estaba,0.6934
spirit,vacía,0.6934
spirit,",",-0.0687
spirit,oscuridad,0.082
spirit,cubría,0.6934
spirit,las,0.005844
spirit,aguas,0.005844
spirit,profundas,0.6934
spirit,;,0.1195
spirit,el,0.0336
spirit,espíritu,0.6934
spirit,de,-0.11035
spirit,dios,-0.1827
spirit,se,0.2251
spirit,movía,0.6934
spirit,en,0.2042
spirit,aire,0.6934
spirit,sobre,0.6934
spirit,superficie,0.6934
spirit,.,-0.1049
god,no,-0.1827
god,tenía,-0.1827
god,forma,-0.1827
god,estaba,-0.1827
god,vacía,-0.1827
god,oscuridad,0.1788
god,cubría,-0.1827
god,las,0.1946
god,aguas,0.1946
god,profundas,-0.1827
god,;,0.0629
god,espíritu,-0.1827
god,de,0.2527
god,se,0.0874
god,movía,-0.1827
god,aire,-0.1827
god,sobre,-0.1827
god,superficie,-0.1827
moved,la,-0.2307
moved,tierra,-0.11694
moved,no,0.6934
moved,tenía,0.6934
moved,forma,0.6934
moved,y,-0.1049
moved,estaba,0.6934
moved,vacía,0.6934
moved,",",-0.0687
moved,oscuridad,0.082
moved,cubría,0.6934
moved,las,0.005844
moved,aguas,0.005844
moved,profundas,0.6934
moved,;,0.1195
moved,el,0.0336
moved,espíritu,0.6934
moved,de,-0.11035
moved,dios,-0.1827
moved,se,0.2251
moved,movía,0.6934
moved,en,0.2042
moved,aire,0.6934
moved,sobre,0.6934
moved,superficie,0.6934
moved,.,-0.1049
waters,la,0.2058
waters,tierra,0.373
waters,no,0.005844
waters,tenía,0.005844
waters,forma,0.005844
waters,y,0.04626
waters,estaba,0.005844
waters,vacía,0.005844
waters,",",0.11993
waters,oscuridad,-0.09955
waters,cubría,0.005844
waters,las,0.6934
waters,aguas,0.6934
waters,profundas,0.005844
waters,;,0.11035
waters,el,-0.08136
waters,espíritu,0.005844
waters,de,0.3472
waters,dios,0.1946
waters,se,-0.01278
waters,movía,0.005844
waters,en,-0.07184
waters,aire,0.005844
waters,sobre,0.005844
waters,superficie,0.005844
waters,.,0.04626
and,entonces,-0.02873
and,dijo,-0.02873
and,:,-0.02873
and,«,0.2421
and,que,0.1841
and,haya,-0.02873
and,luz,0.1918
and,»,0.2421
and,hubo,-0.2394
god,entonces,-0.02873
god,dijo,-0.02873
god,:,-0.02873
god,«,0.2421
god,que,0.1841
god,haya,-0.02873
god,luz,0.1918
god,»,0.2421
god,hubo,-0.2394
said,entonces,0.6934
said,dios,-0.02873
said,dijo,0.6934
said,:,0.6934
said,«,0.2783
said,que,0.2336
said,haya,0.6934
said,luz,-0.07294
said,»,0.2783
said,;,0.3105
said,y,-0.2556
said,hubo,0.2274
said,.,-0.2556
",",entonces,0.04535
",",dijo,0.04535
",",:,0.04535
",",«,0.2737
",",que,0.2827
",",haya,0.04535
",",luz,0.2637
",",»,0.2737
",",hubo,-0.1515
let,entonces,0.6934
let,dios,-0.02873
let,dijo,0.6934
let,:,0.6934
let,«,0.2783
let,que,0.2336
let,haya,0.6934
let,luz,-0.07294
let,»,0.2783
let,;,0.3105
let,y,-0.2556
let,hubo,0.2274
let,.,-0.2556
there,entonces,0.6934
there,dios,-0.02873
there,dijo,0.6934
there,:,0.6934
there,«,0.2783
there,que,0.2336
there,haya,0.6934
there,luz,-0.07294
there,»,0.2783
there,;,0.3105
there,y,-0.2556
there,hubo,0.2274
there,.,-0.2556
be,entonces,0.6934
be,dios,-0.02873
be,dijo,0.6934
be,:,0.6934
be,«,0.2783
be,que,0.2336
be,haya,0.6934
be,luz,-0.07294
be,»,0.2783
be,;,0.3105
be,y,-0.2556
be,hubo,0.2274
be,.,-0.2556
light,entonces,-0.07294
light,dios,0.1918
light,dijo,-0.07294
light,:,-0.07294
light,«,0.1926
light,que,0.1234
light,haya,-0.07294
light,luz,0.6934
light,»,0.1926
light,;,-0.1257
light,y,0.218
light,hubo,-0.00883
light,.,0.218
:,entonces,-0.01872
:,dios,0.0936
:,dijo,-0.01872
:,:,-0.01872
:,«,-0.0708
:,que,0.3997
:,haya,-0.01872
:,luz,0.2102
:,»,-0.0708
:,;,-0.1527
:,y,0.1025
:,hubo,0.04675
:,.,0.1025
was,entonces,-0.08026
was,dijo,-0.08026
was,:,-0.08026
was,«,-0.11475
was,que,0.1829
was,haya,-0.08026
was,luz,0.1367
was,»,-0.11475
was,hubo,0.0449
.,entonces,-0.02873
.,dijo,-0.02873
.,:,-0.02873
.,«,0.2421
.,que,0.1841
.,haya,-0.02873
.,luz,0.1918
.,»,0.2421
.,hubo,-0.2394
and,vio,-0.2185
and,era,-0.2185
and,buena,-0.2185
and,luego,-0.2185
and,separó,-0.2185
god,vio,-0.2185
god,era,-0.2185
god,buena,-0.2185
god,luego,-0.2185
god,separó,-0.2185
saw,y,-0.262
saw,dios,-0.2185
saw,vio,0.6934
saw,que,0.02078
saw,la,-0.1874
saw,luz,0.0629
saw,era,0.6934
saw,buena,0.6934
saw,.,-0.262
saw,luego,0.6934
saw,separó,0.6934
saw,de,0.03078
saw,oscuridad,0.00875
the,vio,-0.1874
the,que,0.03125
the,luz,0.0179
the,era,-0.1874
the,buena,-0.1874
the,luego,-0.1874
the,separó,-0.1874
light,vio,0.0629
light,la,0.0179
light,era,0.0629
light,buena,0.0629
light,luego,0.0629
light,separó,0.0629
light,de,-0.08453
light,oscuridad,0.1813
",",vio,-0.1425
",",era,-0.1425
",",buena,-0.1425
",",luego,-0.1425
",",separó,-0.1425
that,y,-0.262
that,dios,-0.2185
that,vio,0.6934
that,que,0.02078
that,la,-0.1874
that,luz,0.0629
that,era,0.6934
that,buena,0.6934
that,.,-0.262
that,luego,0.6934
that,separó,0.6934
that,de,0.03078
that,oscuridad,0.00875
it,y,-0.1028
it,dios,0.1016
it,vio,0.10864
it,que,0.3767
it,la,0.1582
it,luz,-0.0963
it,era,0.10864
it,buena,0.10864
it,.,-0.1028
it,luego,0.10864
it,separó,0.10864
it,de,0.3464
it,oscuridad,-0.1898
was,vio,-0.0877
was,era,-0.0877
was,buena,-0.0877
was,luego,-0.0877
was,separó,-0.0877
good,y,-0.262
good,dios,-0.2185
good,vio,0.6934
good,que,0.02078
good,la,-0.1874
good,luz,0.0629
good,era,0.6934
good,buena,0.6934
good,.,-0.262
good,luego,0.6934
good,separó,0.6934
good,de,0.03078
good,oscuridad,0.00875
:,vio,0.0341
:,la,-0.1028
:,era,0.0341
:,buena,0.0341
:,luego,0.0341
:,separó,0.0341
:,de,0.07837
:,oscuridad,-0.1945
divided,y,-0.0108
divided,dios,0.001464
divided,vio,0.1771
divided,que,0.2007
divided,la,0.06247
divided,luz,-0.0378
divided,era,0.1771
divided,buena,0.1771
divided,.,-0.0108
divided,luego,0.1771
divided,separó,0.1771
divided,de,0.1962
divided,oscuridad,-0.1071
from,y,-0.1028
from,dios,0.1016
from,vio,0.10864
from,que,0.3767
from,la,0.1582
from,luz,-0.0963
from,era,0.10864
from,buena,0.10864
from,.,-0.1028
from,luego,0.10864
from,separó,0.10864
from,de,0.3464
from,oscuridad,-0.1898
darkness,vio,0.00875
darkness,que,-0.2418
darkness,luz,0.1813
darkness,era,0.00875
darkness,buena,0.00875
darkness,luego,0.00875
darkness,separó,0.00875
.,vio,-0.2185
.,era,-0.2185
.,buena,-0.2185
.,luego,-0.2185
.,separó,-0.2185
and,llamó,0.02554
and,a,0.02554
and,día,0.02554
and,noche,0.02554
and,pasó,0.02554
and,tarde,0.02554
and,llegó,0.02554
and,mañana,0.02554
and,así,0.02554
and,cumplió,0.02554
and,primer,0.02554
god,llamó,0.02554
god,a,0.02554
god,día,0.02554
god,noche,0.02554
god,pasó,0.02554
god,tarde,0.02554
god,llegó,0.02554
god,mañana,0.02554
god,así,0.02554
god,cumplió,0.02554
god,primer,0.02554
called,dios,0.02554
called,llamó,0.6934
called,a,0.6934
called,la,0.1003
called,luz,0.01165
called,«,0.0444
called,día,0.6934
called,»,0.0444
called,y,0.0775
called,oscuridad,0.07886
called,noche,0.6934
called,.,0.0775
called,pasó,0.6934
called,tarde,0.6934
called,llegó,0.6934
called,mañana,0.6934
called,",",0.1282
called,así,0.6934
called,se,0.22
called,cumplió,0.6934
called,el,0.1967
called,primer,0.6934
the,llamó,0.1003
the,a,0.1003
the,«,0.05786
the,día,0.1003
the,»,0.05786
the,noche,0.1003
the,pasó,0.1003
the,tarde,0.1003
the,llegó,0.1003
the,mañana,0.1003
the,así,0.1003
the,cumplió,0.1003
the,primer,0.1003
light,llamó,0.01165
light,a,0.01165
light,día,0.01165
light,noche,0.01165
light,pasó,0.01165
light,tarde,0.01165
light,llegó,0.01165
light,mañana,0.01165
light,",",-0.1606
light,así,0.01165
light,se,-0.1006
light,cumplió,0.01165
light,el,-0.1746
light,primer,0.01165
day,dios,0.02554
day,llamó,0.6934
day,a,0.6934
day,la,0.1003
day,luz,0.01165
day,«,0.0444
day,día,0.6934
day,»,0.0444
day,y,0.0775
day,oscuridad,0.07886
day,noche,0.6934
day,.,0.0775
day,pasó,0.6934
day,tarde,0.6934
day,llegó,0.6934
day,mañana,0.6934
day,",",0.1282
day,así,0.6934
day,se,0.22
day,cumplió,0.6934
day,el,0.1967
day,primer,0.6934
",",llamó,-0.02571
",",a,-0.02571
",",día,-0.02571
",",noche,-0.02571
",",pasó,-0.02571
",",tarde,-0.02571
",",llegó,-0.02571
",",mañana,-0.02571
",",así,-0.02571
",",cumplió,-0.02571
",",primer,-0.02571
darkness,llamó,0.07886
darkness,a,0.07886
darkness,«,-0.1368
darkness,día,0.07886
darkness,»,-0.1368
darkness,noche,0.07886
darkness,pasó,0.07886
darkness,tarde,0.07886
darkness,llegó,0.07886
darkness,mañana,0.07886
darkness,así,0.07886
darkness,cumplió,0.07886
darkness,primer,0.07886
he,dios,0.02554
he,llamó,0.6934
he,a,0.6934
he,la,0.1003
he,luz,0.01165
he,«,0.0444
he,día,0.6934
he,»,0.0444
he,y,0.0775
he,oscuridad,0.07886
he,noche,0.6934
he,.,0.0775
he,pasó,0.6934
he,tarde,0.6934
he,llegó,0.6934
he,mañana,0.6934
he,",",0.1282
he,así,0.6934
he,se,0.22
he,cumplió,0.6934
he,el,0.1967
he,primer,0.6934
night,dios,0.02554
night,llamó,0.6934
night,a,0.6934
night,la,0.1003
night,luz,0.01165
night,«,0.0444
night,día,0.6934
night,»,0.0444
night,y,0.0775
night,oscuridad,0.07886
night,noche,0.6934
night,.,0.0775
night,pasó,0.6934
night,tarde,0.6934
night,llegó,0.6934
night,mañana,0.6934
night,",",0.1282
night,así,0.6934
night,se,0.22
night,cumplió,0.6934
night,el,0.1967
night,primer,0.6934
.,llamó,0.02554
.,a,0.02554
.,día,0.02554
.,noche,0.02554
.,pasó,0.02554
.,tarde,0.02554
.,llegó,0.02554
.,mañana,0.02554
.,así,0.02554
.,cumplió,0.02554
.,primer,0.02554
evening,dios,0.02554
evening,llamó,0.6934
evening,a,0.6934
evening,la,0.1003
evening,luz,0.01165
evening,«,0.0444
evening,día,0.6934
evening,»,0.0444
evening,y,0.0775
evening,oscuridad,0.07886
evening,noche,0.6934
evening,.,0.0775
evening,pasó,0.6934
evening,tarde,0.6934
evening,llegó,0.6934
evening,mañana,0.6934
evening,",",0.1282
evening,así,0.6934
evening,se,0.22
evening,cumplió,0.6934
evening,el,0.1967
evening,primer,0.6934
morning,dios,0.02554
morning,llamó,0.6934
morning,a,0.6934
morning,la,0.1003
morning,luz,0.01165
morning,«,0.0444
morning,día,0.6934
morning,»,0.0444
morning,y,0.0775
morning,oscuridad,0.07886
morning,noche,0.6934
morning,.,0.0775
morning,pasó,0.6934
morning,tarde,0.6934
morning,llegó,0.6934
morning,mañana,0.6934
morning,",",0.1282
morning,así,0.6934
morning,se,0.22
morning,cumplió,0.6934
morning,el,0.1967
morning,primer,0.6934
were,dios,0.06335
were,llamó,0.331
were,a,0.331
were,la,0.1427
were,luz,-0.1561
were,«,-0.0708
were,día,0.331
were,»,-0.0708
were,y,0.1139
were,oscuridad,-0.1335
were,noche,0.331
were,.,0.1139
were,pasó,0.331
were,tarde,0.331
were,llegó,0.331
were,mañana,0.331
were,",",-0.02171
were,así,0.331
were,se,0.01646
were,cumplió,0.331
were,el,0.02365
were,primer,0.331
first,dios,0.02554
first,llamó,0.6934
first,a,0.6934
first,la,0.1003
first,luz,0.01165
first,«,0.0444
first,día,0.6934
first,»,0.0444
first,y,0.0775
first,oscuridad,0.07886
first,noche,0.6934
first,.,0.0775
first,pasó,0.6934
first,tarde,0.6934
first,llegó,0.6934
first,mañana,0.6934
first,",",0.1282
first,así,0.6934
first,se,0.22
first,cumplió,0.6934
first,el,0.1967
first,primer,0.6934
and,un,-0.09735
and,espacio,0.043
and,entre,-0.09735
and,para,0.043
and,separar,0.043
god,un,-0.09735
god,espacio,0.043
god,entre,-0.09735
god,para,0.043
god,separar,0.043
said,un,0.1833
said,espacio,-0.074
said,entre,0.1833
said,las,-0.11255
said,aguas,-0.11255
said,",",-0.271
said,para,-0.074
said,separar,-0.074
said,de,-0.1257
said,los,-0.204
said,cielos,-0.204
said,la,-0.3035
said,tierra,-0.2113
",",un,-0.08136
",",espacio,0.0528
",",entre,-0.08136
",",para,0.0528
",",separar,0.0528
",",los,-0.03986
",",cielos,-0.03986
let,un,0.1833
let,espacio,-0.074
let,entre,0.1833
let,las,-0.11255
let,aguas,-0.11255
let,",",-0.271
let,para,-0.074
let,separar,-0.074
let,de,-0.1257
let,los,-0.204
let,cielos,-0.204
let,la,-0.3035
let,tierra,-0.2113
there,un,0.1833
there,espacio,-0.074
there,entre,0.1833
there,las,-0.11255
there,aguas,-0.11255
there,",",-0.271
there,para,-0.074
there,separar,-0.074
there,de,-0.1257
there,los,-0.204
there,cielos,-0.204
there,la,-0.3035
there,tierra,-0.2113
be,un,0.1833
be,espacio,-0.074
be,entre,0.1833
be,las,-0.11255
be,aguas,-0.11255
be,",",-0.271
be,para,-0.074
be,separar,-0.074
be,de,-0.1257
be,los,-0.204
be,cielos,-0.204
be,la,-0.3035
be,tierra,-0.2113
a,entonces,0.1833
a,dios,-0.09735
a,dijo,0.1833
a,:,0.1833
a,«,0.06934
a,que,0.09094
a,haya,0.1833
a,un,0.6934
a,espacio,0.205
a,entre,0.6934
a,las,0.03503
a,aguas,0.03503
a,",",-0.0856
a,para,0.205
a,separar,0.205
a,de,0.05185
a,los,0.07294
a,cielos,0.07294
a,la,-0.08026
a,tierra,-0.02873
a,»,0.06934
a,;,-0.0378
firmament,entonces,-0.074
firmament,dios,0.043
firmament,dijo,-0.074
firmament,:,-0.074
firmament,«,-0.014755
firmament,que,0.1853
firmament,haya,-0.074
firmament,un,0.205
firmament,espacio,0.6934
firmament,entre,0.205
firmament,las,0.2573
firmament,aguas,0.2573
firmament,",",-0.1268
firmament,para,0.6934
firmament,separar,0.6934
firmament,de,0.146
firmament,los,0.3472
firmament,cielos,0.3472
firmament,la,0.09094
firmament,tierra,0.1752
firmament,»,-0.014755
firmament,;,-0.2864
in,entonces,-0.0824
in,dijo,-0.0824
in,:,-0.0824
in,«,-0.03174
in,que,-0.1313
in,haya,-0.0824
in,un,0.2118
in,espacio,0.05
in,entre,0.2118
in,las,-0.0941
in,aguas,-0.0941
in,para,0.05
in,separar,0.05
in,de,-0.1279
in,»,-0.03174
in,;,-0.2444
the,entonces,-0.3035
the,dijo,-0.3035
the,:,-0.3035
the,haya,-0.3035
the,un,-0.08026
the,espacio,0.09094
the,entre,-0.08026
the,para,0.09094
the,separar,0.09094
midst,entonces,0.1833
midst,dios,-0.09735
midst,dijo,0.1833
midst,:,0.1833
midst,«,0.06934
midst,que,0.09094
midst,haya,0.1833
midst,un,0.6934
midst,espacio,0.205
midst,entre,0.6934
midst,las,0.03503
midst,aguas,0.03503
midst,",",-0.0856
midst,para,0.205
midst,separar,0.205
midst,de,0.05185
midst,los,0.07294
midst,cielos,0.07294
midst,la,-0.08026
midst,tierra,-0.02873
midst,»,0.06934
midst,;,-0.0378
of,entonces,0.001951
of,dijo,0.001951
of,:,0.001951
of,«,-0.0645
of,que,-0.1584
of,haya,0.001951
of,un,0.1182
of,espacio,-0.1515
of,entre,0.1182
of,para,-0.1515
of,separar,-0.1515
of,los,-0.2307
of,cielos,-0.2307
of,»,-0.0645
waters,entonces,-0.11255
waters,dijo,-0.11255
waters,:,-0.11255
waters,«,-0.048
waters,que,0.03265
waters,haya,-0.11255
waters,un,0.03503
waters,espacio,0.2573
waters,entre,0.03503
waters,para,0.2573
waters,separar,0.2573
waters,los,0.1134
waters,cielos,0.1134
waters,»,-0.048
it,entonces,-0.11365
it,dijo,-0.11365
it,:,-0.11365
it,«,-0.1006
it,haya,-0.11365
it,un,0.1632
it,espacio,0.3164
it,entre,0.1632
it,las,0.0752
it,aguas,0.0752
it,",",-0.227
it,para,0.3164
it,separar,0.3164
it,los,0.1342
it,cielos,0.1342
it,tierra,-0.01179
it,»,-0.1006
it,;,-0.322
divide,entonces,0.1833
divide,dios,-0.09735
divide,dijo,0.1833
divide,:,0.1833
divide,«,0.06934
divide,que,0.09094
divide,haya,0.1833
divide,un,0.6934
divide,espacio,0.205
divide,entre,0.6934
divide,las,0.03503
divide,aguas,0.03503
divide,",",-0.0856
divide,para,0.205
divide,separar,0.205
divide,de,0.05185
divide,los,0.07294
divide,cielos,0.07294
divide,la,-0.08026
divide,tierra,-0.02873
divide,»,0.06934
divide,;,-0.0378
from,entonces,-0.11365
from,dijo,-0.11365
from,:,-0.11365
from,«,-0.1006
from,haya,-0.11365
from,un,0.1632
from,espacio,0.3164
from,entre,0.1632
from,las,0.0752
from,aguas,0.0752
from,",",-0.227
from,para,0.3164
from,separar,0.3164
from,los,0.1342
from,cielos,0.1342
from,tierra,-0.01179
from,»,-0.1006
