,vref,source,target,translation_score
72,GEN 1:2,und,earth,1.2248831178135886e-44
73,GEN 1:2,und,was,3.9769558199855035e-06
74,GEN 1:2,und,without,0.022888689150487404
75,GEN 1:2,und,form,0.03197200773665437
76,GEN 1:2,und,and,0.46856703561196517
77,GEN 1:2,und,void,0.03197201729291063
78,GEN 1:2,und,and,0.46856703561196517
79,GEN 1:2,und,darkness,0.035054326826131216
80,GEN 1:2,und,was,3.9769558199855035e-06
81,GEN 1:2,und,upon,0.007903019105154622
82,GEN 1:2,und,the,0.14610905196998894
83,GEN 1:2,und,face,1.7752540795769687e-43
84,GEN 1:2,und,of,6.219005250822331e-45
85,GEN 1:2,und,the,0.14610905196998894
86,GEN 1:2,und,deep,1.54658685774318e-41
87,GEN 1:2,und,and,0.46856703561196517
88,GEN 1:2,und,the,0.14610905196998894
89,GEN 1:2,und,spirit,1.54658685774318e-41
90,GEN 1:2,und,of,6.219005250822331e-45
91,GEN 1:2,und,god,0.06149595236501601
92,GEN 1:2,und,moved,1.54658685774318e-41
93,GEN 1:2,und,upon,0.007903019105154622
94,GEN 1:2,und,the,0.14610905196998894
95,GEN 1:2,und,face,1.7752540795769687e-43
96,GEN 1:2,und,of,6.219005250822331e-45
97,GEN 1:2,und,the,0.14610905196998894
98,GEN 1:2,und,waters,2.9856139740007055e-44
99,GEN 1:2,die,and,0.5938438995168998
100,GEN 1:2,die,the,0.04000996343825453
101,GEN 1:2,die,earth,1.5005573611877436e-44
102,GEN 1:2,die,was,1.5005573611877436e-44
103,GEN 1:2,die,without,1.54658685774318e-41
104,GEN 1:2,die,form,1.54658685774318e-41
105,GEN 1:2,die,and,0.5938438995168998
106,GEN 1:2,die,void,1.54658685774318e-41
107,GEN 1:2,die,and,0.5938438995168998
108,GEN 1:2,die,darkness,1.5005573611877436e-44
109,GEN 1:2,die,was,1.5005573611877436e-44
110,GEN 1:2,die,upon,1.54658685774318e-41
111,GEN 1:2,die,the,0.04000996343825453
112,GEN 1:2,die,face,1.7752540795769687e-43
113,GEN 1:2,die,of,1.5005573611877436e-44
114,GEN 1:2,die,the,0.04000996343825453
115,GEN 1:2,die,deep,1.54658685774318e-41
116,GEN 1:2,die,and,0.5938438995168998
117,GEN 1:2,die,the,0.04000996343825453
118,GEN 1:2,die,spirit,1.54658685774318e-41
119,GEN 1:2,die,of,1.5005573611877436e-44
120,GEN 1:2,die,god,1.5005573611877436e-44
121,GEN 1:2,die,moved,1.54658685774318e-41
122,GEN 1:2,die,upon,1.54658685774318e-41
123,GEN 1:2,die,the,0.04000996343825453
124,GEN 1:2,die,face,1.7752540795769687e-43
125,GEN 1:2,die,of,1.5005573611877436e-44
126,GEN 1:2,die,the,0.04000996343825453
127,GEN 1:2,die,waters,2.9856139740007055e-44
128,GEN 1:2,erde,and,1.222359287002054e-44
129,GEN 1:2,erde,the,1.3883503167252055e-19
130,GEN 1:2,erde,earth,0.8862171549333484
131,GEN 1:2,erde,was,1.222359287002054e-44
132,GEN 1:2,erde,without,1.54658685774318e-41
133,GEN 1:2,erde,form,1.54658685774318e-41
134,GEN 1:2,erde,and,1.222359287002054e-44
135,GEN 1:2,erde,void,1.54658685774318e-41
136,GEN 1:2,erde,and,1.222359287002054e-44
137,GEN 1:2,erde,darkness,1.222359287002054e-44
138,GEN 1:2,erde,was,1.222359287002054e-44
139,GEN 1:2,erde,upon,1.54658685774318e-41
140,GEN 1:2,erde,the,1.3883503167252055e-19
141,GEN 1:2,erde,face,1.7752540795769687e-43
142,GEN 1:2,erde,of,1.222359287002054e-44
143,GEN 1:2,erde,the,1.3883503167252055e-19
144,GEN 1:2,erde,deep,1.54658685774318e-41
145,GEN 1:2,erde,and,1.222359287002054e-44
146,GEN 1:2,erde,the,1.3883503167252055e-19
147,GEN 1:2,erde,spirit,1.54658685774318e-41
148,GEN 1:2,erde,of,1.222359287002054e-44
149,GEN 1:2,erde,god,1.222359287002054e-44
150,GEN 1:2,erde,moved,1.54658685774318e-41
151,GEN 1:2,erde,upon,1.54658685774318e-41
152,GEN 1:2,erde,the,1.3883503167252055e-19
153,GEN 1:2,erde,face,1.7752540795769687e-43
154,GEN 1:2,erde,of,1.222359287002054e-44
155,GEN 1:2,erde,the,1.3883503167252055e-19
156,GEN 1:2,erde,waters,2.9856139740007055e-44
157,GEN 1:2,war,and,0.007815642366957311
158,GEN 1:2,war,the,1.7214455063498668e-09
159,GEN 1:2,war,earth,1.2248831178135886e-44
160,GEN 1:2,war,was,0.7665888687361028
161,GEN 1:2,war,without,0.0012111547634542396
162,GEN 1:2,war,form,1.54658685774318e-41
163,GEN 1:2,war,and,0.007815642366957311
164,GEN 1:2,war,void,1.54658685774318e-41
165,GEN 1:2,war,and,0.007815642366957311
166,GEN 1:2,war,darkness,1.140359289417608e-44
167,GEN 1:2,war,was,0.7665888687361028
168,GEN 1:2,war,upon,1.54658685774318e-41
169,GEN 1:2,war,the,1.7214455063498668e-09
170,GEN 1:2,war,face,1.7752540795769687e-43
171,GEN 1:2,war,of,6.976019984172574e-45
172,GEN 1:2,war,the,1.7214455063498668e-09
173,GEN 1:2,war,deep,1.54658685774318e-41
174,GEN 1:2,war,and,0.007815642366957311
175,GEN 1:2,war,the,1.7214455063498668e-09
176,GEN 1:2,war,spirit,1.54658685774318e-41
177,GEN 1:2,war,of,6.976019984172574e-45
178,GEN 1:2,war,god,6.976019984172574e-45
179,GEN 1:2,war,moved,1.54658685774318e-41
180,GEN 1:2,war,upon,1.54658685774318e-41
181,GEN 1:2,war,the,1.7214455063498668e-09
182,GEN 1:2,war,face,1.7752540795769687e-43
183,GEN 1:2,war,of,6.976019984172574e-45
184,GEN 1:2,war,the,1.7214455063498668e-09
185,GEN 1:2,war,waters,2.9856139740007055e-44
186,GEN 1:2,wüst,and,0.041087226241759145
187,GEN 1:2,wüst,the,1.54658685774318e-41
188,GEN 1:2,wüst,earth,1.54658685774318e-41
189,GEN 1:2,wüst,was,1.54658685774318e-41
190,GEN 1:2,wüst,without,1.54658685774318e-41
191,GEN 1:2,wüst,form,1.54658685774318e-41
192,GEN 1:2,wüst,and,0.041087226241759145
193,GEN 1:2,wüst,void,1.54658685774318e-41
194,GEN 1:2,wüst,and,0.041087226241759145
195,GEN 1:2,wüst,darkness,1.54658685774318e-41
196,GEN 1:2,wüst,was,1.54658685774318e-41
197,GEN 1:2,wüst,upon,1.54658685774318e-41
198,GEN 1:2,wüst,the,1.54658685774318e-41
199,GEN 1:2,wüst,face,1.54658685774318e-41
200,GEN 1:2,wüst,of,1.54658685774318e-41
201,GEN 1:2,wüst,the,1.54658685774318e-41
202,GEN 1:2,wüst,deep,1.54658685774318e-41
203,GEN 1:2,wüst,and,0.041087226241759145
204,GEN 1:2,wüst,the,1.54658685774318e-41
205,GEN 1:2,wüst,spirit,1.54658685774318e-41
206,GEN 1:2,wüst,of,1.54658685774318e-41
207,GEN 1:2,wüst,god,1.54658685774318e-41
208,GEN 1:2,wüst,moved,1.54658685774318e-41
209,GEN 1:2,wüst,upon,1.54658685774318e-41
210,GEN 1:2,wüst,the,1.54658685774318e-41
211,GEN 1:2,wüst,face,1.54658685774318e-41
212,GEN 1:2,wüst,of,1.54658685774318e-41
213,GEN 1:2,wüst,the,1.54658685774318e-41
214,GEN 1:2,wüst,waters,1.54658685774318e-41
215,GEN 1:2,und,and,0.46856703561196517
216,GEN 1:2,und,the,0.14610905196998894
217,GEN 1:2,und,earth,1.2248831178135886e-44
218,GEN 1:2,und,was,3.9769558199855035e-06
219,GEN 1:2,und,without,0.022888689150487404
220,GEN 1:2,und,form,0.03197200773665437
221,GEN 1:2,und,and,0.46856703561196517
222,GEN 1:2,und,void,0.03197201729291063
223,GEN 1:2,und,and,0.46856703561196517
224,GEN 1:2,und,darkness,0.035054326826131216
225,GEN 1:2,und,was,3.9769558199855035e-06
226,GEN 1:2,und,upon,0.007903019105154622
227,GEN 1:2,und,the,0.14610905196998894
228,GEN 1:2,und,face,1.7752540795769687e-43
229,GEN 1:2,und,of,6.219005250822331e-45
230,GEN 1:2,und,the,0.14610905196998894
231,GEN 1:2,und,deep,1.54658685774318e-41
232,GEN 1:2,und,and,0.46856703561196517
233,GEN 1:2,und,the,0.14610905196998894
234,GEN 1:2,und,spirit,1.54658685774318e-41
235,GEN 1:2,und,of,6.219005250822331e-45
236,GEN 1:2,und,god,0.06149595236501601
237,GEN 1:2,und,moved,1.54658685774318e-41
238,GEN 1:2,und,upon,0.007903019105154622
239,GEN 1:2,und,the,0.14610905196998894
240,GEN 1:2,und,face,1.7752540795769687e-43
241,GEN 1:2,und,of,6.219005250822331e-45
242,GEN 1:2,und,the,0.14610905196998894
243,GEN 1:2,und,waters,2.9856139740007055e-44
244,GEN 1:2,leer,and,0.041087226241759145
245,GEN 1:2,leer,the,1.54658685774318e-41
246,GEN 1:2,leer,earth,1.54658685774318e-41
247,GEN 1:2,leer,was,1.54658685774318e-41
248,GEN 1:2,leer,without,1.54658685774318e-41
249,GEN 1:2,leer,form,1.54658685774318e-41
250,GEN 1:2,leer,and,0.041087226241759145
251,GEN 1:2,leer,void,1.54658685774318e-41
252,GEN 1:2,leer,and,0.041087226241759145
253,GEN 1:2,leer,darkness,1.54658685774318e-41
254,GEN 1:2,leer,was,1.54658685774318e-41
255,GEN 1:2,leer,upon,1.54658685774318e-41
256,GEN 1:2,leer,the,1.54658685774318e-41
257,GEN 1:2,leer,face,1.54658685774318e-41
258,GEN 1:2,leer,of,1.54658685774318e-41
259,GEN 1:2,leer,the,1.54658685774318e-41
260,GEN 1:2,leer,deep,1.54658685774318e-41
261,GEN 1:2,leer,and,0.041087226241759145
262,GEN 1:2,leer,the,1.54658685774318e-41
263,GEN 1:2,leer,spirit,1.54658685774318e-41
264,GEN 1:2,leer,of,1.54658685774318e-41
265,GEN 1:2,leer,god,1.54658685774318e-41
266,GEN 1:2,leer,moved,1.54658685774318e-41
267,GEN 1:2,leer,upon,1.54658685774318e-41
268,GEN 1:2,leer,the,1.54658685774318e-41
269,GEN 1:2,leer,face,1.54658685774318e-41
270,GEN 1:2,leer,of,1.54658685774318e-41
271,GEN 1:2,leer,the,1.54658685774318e-41
272,GEN 1:2,leer,waters,1.54658685774318e-41
273,GEN 1:2,und,and,0.46856703561196517
274,GEN 1:2,und,the,0.14610905196998894
275,GEN 1:2,und,earth,1.2248831178135886e-44
276,GEN 1:2,und,was,3.9769558199855035e-06
277,GEN 1:2,und,without,0.022888689150487404
278,GEN 1:2,und,form,0.03197200773665437
279,GEN 1:2,und,and,0.46856703561196517
280,GEN 1:2,und,void,0.03197201729291063
281,GEN 1:2,und,and,0.46856703561196517
282,GEN 1:2,und,darkness,0.035054326826131216
283,GEN 1:2,und,was,3.9769558199855035e-06
284,GEN 1:2,und,upon,0.007903019105154622
285,GEN 1:2,und,the,0.14610905196998894
286,GEN 1:2,und,face,1.7752540795769687e-43
287,GEN 1:2,und,of,6.219005250822331e-45
288,GEN 1:2,und,the,0.14610905196998894
289,GEN 1:2,und,deep,1.54658685774318e-41
290,GEN 1:2,und,and,0.46856703561196517
291,GEN 1:2,und,the,0.14610905196998894
292,GEN 1:2,und,spirit,1.54658685774318e-41
293,GEN 1:2,und,of,6.219005250822331e-45
294,GEN 1:2,und,god,0.06149595236501601
295,GEN 1:2,und,moved,1.54658685774318e-41
296,GEN 1:2,und,upon,0.007903019105154622
297,GEN 1:2,und,the,0.14610905196998894
298,GEN 1:2,und,face,1.7752540795769687e-43
299,GEN 1:2,und,of,6.219005250822331e-45
300,GEN 1:2,und,the,0.14610905196998894
301,GEN 1:2,und,waters,2.9856139740007055e-44
302,GEN 1:2,es,and,0.0030129645659542933
303,GEN 1:2,es,the,8.281755466393365e-45
304,GEN 1:2,es,earth,1.2248831178135886e-44
305,GEN 1:2,es,was,0.11172998918241318
306,GEN 1:2,es,without,1.54658685774318e-41
307,GEN 1:2,es,form,1.54658685774318e-41
308,GEN 1:2,es,and,0.0030129645659542933
309,GEN 1:2,es,void,1.54658685774318e-41
310,GEN 1:2,es,and,0.0030129645659542933
311,GEN 1:2,es,darkness,1.140359289417608e-44
312,GEN 1:2,es,was,0.11172998918241318
313,GEN 1:2,es,upon,1.54658685774318e-41
314,GEN 1:2,es,the,8.281755466393365e-45
315,GEN 1:2,es,face,1.7752540795769687e-43
316,GEN 1:2,es,of,8.281755466393365e-45
317,GEN 1:2,es,the,8.281755466393365e-45
318,GEN 1:2,es,deep,1.54658685774318e-41
319,GEN 1:2,es,and,0.0030129645659542933
320,GEN 1:2,es,the,8.281755466393365e-45
321,GEN 1:2,es,spirit,1.54658685774318e-41
322,GEN 1:2,es,of,8.281755466393365e-45
323,GEN 1:2,es,god,8.281755466393365e-45
324,GEN 1:2,es,moved,1.54658685774318e-41
325,GEN 1:2,es,upon,1.54658685774318e-41
326,GEN 1:2,es,the,8.281755466393365e-45
327,GEN 1:2,es,face,1.7752540795769687e-43
328,GEN 1:2,es,of,8.281755466393365e-45
329,GEN 1:2,es,the,8.281755466393365e-45
330,GEN 1:2,es,waters,2.9856139740007055e-44
331,GEN 1:2,war,and,0.007815642366957311
332,GEN 1:2,war,the,1.7214455063498668e-09
333,GEN 1:2,war,earth,1.2248831178135886e-44
334,GEN 1:2,war,was,0.7665888687361028
335,GEN 1:2,war,without,0.0012111547634542396
336,GEN 1:2,war,form,1.54658685774318e-41
337,GEN 1:2,war,and,0.007815642366957311
338,GEN 1:2,war,void,1.54658685774318e-41
339,GEN 1:2,war,and,0.007815642366957311
340,GEN 1:2,war,darkness,1.140359289417608e-44
341,GEN 1:2,war,was,0.7665888687361028
342,GEN 1:2,war,upon,1.54658685774318e-41
343,GEN 1:2,war,the,1.7214455063498668e-09
344,GEN 1:2,war,face,1.7752540795769687e-43
345,GEN 1:2,war,of,6.976019984172574e-45
346,GEN 1:2,war,the,1.7214455063498668e-09
347,GEN 1:2,war,deep,1.54658685774318e-41
348,GEN 1:2,war,and,0.007815642366957311
349,GEN 1:2,war,the,1.7214455063498668e-09
350,GEN 1:2,war,spirit,1.54658685774318e-41
351,GEN 1:2,war,of,6.976019984172574e-45
352,GEN 1:2,war,god,6.976019984172574e-45
353,GEN 1:2,war,moved,1.54658685774318e-41
354,GEN 1:2,war,upon,1.54658685774318e-41
355,GEN 1:2,war,the,1.7214455063498668e-09
356,GEN 1:2,war,face,1.7752540795769687e-43
357,GEN 1:2,war,of,6.976019984172574e-45
358,GEN 1:2,war,the,1.7214455063498668e-09
359,GEN 1:2,war,waters,2.9856139740007055e-44
360,GEN 1:2,finster,and,1.54658685774318e-41
361,GEN 1:2,finster,the,0.04574622903481879
362,GEN 1:2,finster,earth,1.54658685774318e-41
363,GEN 1:2,finster,was,1.54658685774318e-41
364,GEN 1:2,finster,without,1.54658685774318e-41
365,GEN 1:2,finster,form,1.54658685774318e-41
366,GEN 1:2,finster,and,1.54658685774318e-41
367,GEN 1:2,finster,void,1.54658685774318e-41
368,GEN 1:2,finster,and,1.54658685774318e-41
369,GEN 1:2,finster,darkness,1.54658685774318e-41
370,GEN 1:2,finster,was,1.54658685774318e-41
371,GEN 1:2,finster,upon,1.54658685774318e-41
372,GEN 1:2,finster,the,0.04574622903481879
373,GEN 1:2,finster,face,1.54658685774318e-41
374,GEN 1:2,finster,of,1.54658685774318e-41
375,GEN 1:2,finster,the,0.04574622903481879
376,GEN 1:2,finster,deep,1.54658685774318e-41
377,GEN 1:2,finster,and,1.54658685774318e-41
378,GEN 1:2,finster,the,0.04574622903481879
379,GEN 1:2,finster,spirit,1.54658685774318e-41
380,GEN 1:2,finster,of,1.54658685774318e-41
381,GEN 1:2,finster,god,1.54658685774318e-41
382,GEN 1:2,finster,moved,1.54658685774318e-41
383,GEN 1:2,finster,upon,1.54658685774318e-41
384,GEN 1:2,finster,the,0.04574622903481879
385,GEN 1:2,finster,face,1.54658685774318e-41
386,GEN 1:2,finster,of,1.54658685774318e-41
387,GEN 1:2,finster,the,0.04574622903481879
388,GEN 1:2,finster,waters,1.54658685774318e-41
389,GEN 1:2,auf,and,3.5240180370426096e-45
390,GEN 1:2,auf,the,0.0012653378537037046
391,GEN 1:2,auf,earth,1.2248831178135886e-44
392,GEN 1:2,auf,was,6.054029172683512e-45
393,GEN 1:2,auf,without,1.54658685774318e-41
394,GEN 1:2,auf,form,1.54658685774318e-41
395,GEN 1:2,auf,and,3.5240180370426096e-45
396,GEN 1:2,auf,void,1.54658685774318e-41
397,GEN 1:2,auf,and,3.5240180370426096e-45
398,GEN 1:2,auf,darkness,1.140359289417608e-44
399,GEN 1:2,auf,was,6.054029172683512e-45
400,GEN 1:2,auf,upon,0.17462546862067302
401,GEN 1:2,auf,the,0.0012653378537037046
402,GEN 1:2,auf,face,0.31469046950234386
403,GEN 1:2,auf,of,0.36086954359706425
404,GEN 1:2,auf,the,0.0012653378537037046
405,GEN 1:2,auf,deep,1.54658685774318e-41
406,GEN 1:2,auf,and,3.5240180370426096e-45
407,GEN 1:2,auf,the,0.0012653378537037046
408,GEN 1:2,auf,spirit,1.54658685774318e-41
409,GEN 1:2,auf,of,0.36086954359706425
410,GEN 1:2,auf,god,4.967283679763376e-45
411,GEN 1:2,auf,moved,1.54658685774318e-41
412,GEN 1:2,auf,upon,0.17462546862067302
413,GEN 1:2,auf,the,0.0012653378537037046
414,GEN 1:2,auf,face,0.31469046950234386
415,GEN 1:2,auf,of,0.36086954359706425
416,GEN 1:2,auf,the,0.0012653378537037046
417,GEN 1:2,auf,waters,2.9856139740007055e-44
418,GEN 1:2,der,and,3.281363220917859e-45
419,GEN 1:2,der,the,0.5841401280850187
420,GEN 1:2,der,earth,1.2248831178135886e-44
421,GEN 1:2,der,was,6.054029172683512e-45
422,GEN 1:2,der,without,1.54658685774318e-41
423,GEN 1:2,der,form,1.54658685774318e-41
424,GEN 1:2,der,and,3.281363220917859e-45
425,GEN 1:2,der,void,1.54658685774318e-41
426,GEN 1:2,der,and,3.281363220917859e-45
427,GEN 1:2,der,darkness,1.140359289417608e-44
428,GEN 1:2,der,was,6.054029172683512e-45
429,GEN 1:2,der,upon,1.3801748015471988e-33
430,GEN 1:2,der,the,0.5841401280850187
431,GEN 1:2,der,face,1.7752540795769687e-43
432,GEN 1:2,der,of,0.009027938736151061
433,GEN 1:2,der,the,0.5841401280850187
434,GEN 1:2,der,deep,0.08820745135700192
435,GEN 1:2,der,and,3.281363220917859e-45
436,GEN 1:2,der,the,0.5841401280850187
437,GEN 1:2,der,spirit,0.08820745135700192
438,GEN 1:2,der,of,0.009027938736151061
439,GEN 1:2,der,god,4.967283679763376e-45
440,GEN 1:2,der,moved,4.888990856305703e-11
441,GEN 1:2,der,upon,1.3801748015471988e-33
442,GEN 1:2,der,the,0.5841401280850187
443,GEN 1:2,der,face,1.7752540795769687e-43
444,GEN 1:2,der,of,0.009027938736151061
445,GEN 1:2,der,the,0.5841401280850187
446,GEN 1:2,der,waters,2.9856139740007055e-44
447,GEN 1:2,tiefe,and,1.5465797087194255e-41
448,GEN 1:2,tiefe,the,0.04574622903481879
449,GEN 1:2,tiefe,earth,1.5465797087194255e-41
450,GEN 1:2,tiefe,was,1.5465797087194255e-41
451,GEN 1:2,tiefe,without,1.54658685774318e-41
452,GEN 1:2,tiefe,form,1.54658685774318e-41
453,GEN 1:2,tiefe,and,1.5465797087194255e-41
454,GEN 1:2,tiefe,void,1.54658685774318e-41
455,GEN 1:2,tiefe,and,1.5465797087194255e-41
456,GEN 1:2,tiefe,darkness,1.5465797087194255e-41
457,GEN 1:2,tiefe,was,1.5465797087194255e-41
458,GEN 1:2,tiefe,upon,1.54658685774318e-41
459,GEN 1:2,tiefe,the,0.04574622903481879
460,GEN 1:2,tiefe,face,1.5465797087194255e-41
461,GEN 1:2,tiefe,of,1.5465797087194255e-41
462,GEN 1:2,tiefe,the,0.04574622903481879
463,GEN 1:2,tiefe,deep,1.54658685774318e-41
464,GEN 1:2,tiefe,and,1.5465797087194255e-41
465,GEN 1:2,tiefe,the,0.04574622903481879
466,GEN 1:2,tiefe,spirit,1.54658685774318e-41
467,GEN 1:2,tiefe,of,1.5465797087194255e-41
468,GEN 1:2,tiefe,god,1.5465797087194255e-41
469,GEN 1:2,tiefe,moved,1.54658685774318e-41
470,GEN 1:2,tiefe,upon,1.54658685774318e-41
471,GEN 1:2,tiefe,the,0.04574622903481879
472,GEN 1:2,tiefe,face,1.5465797087194255e-41
473,GEN 1:2,tiefe,of,1.5465797087194255e-41
474,GEN 1:2,tiefe,the,0.04574622903481879
475,GEN 1:2,tiefe,waters,1.5465797087194255e-41
476,GEN 1:2,und,and,0.46856703561196517
477,GEN 1:2,und,the,0.14610905196998894
478,GEN 1:2,und,earth,1.2248831178135886e-44
479,GEN 1:2,und,was,3.9769558199855035e-06
480,GEN 1:2,und,without,0.022888689150487404
481,GEN 1:2,und,form,0.03197200773665437
482,GEN 1:2,und,and,0.46856703561196517
483,GEN 1:2,und,void,0.03197201729291063
484,GEN 1:2,und,and,0.46856703561196517
485,GEN 1:2,und,darkness,0.035054326826131216
486,GEN 1:2,und,was,3.9769558199855035e-06
487,GEN 1:2,und,upon,0.007903019105154622
488,GEN 1:2,und,the,0.14610905196998894
489,GEN 1:2,und,face,1.7752540795769687e-43
490,GEN 1:2,und,of,6.219005250822331e-45
491,GEN 1:2,und,the,0.14610905196998894
492,GEN 1:2,und,deep,1.54658685774318e-41
493,GEN 1:2,und,and,0.46856703561196517
494,GEN 1:2,und,the,0.14610905196998894
495,GEN 1:2,und,spirit,1.54658685774318e-41
496,GEN 1:2,und,of,6.219005250822331e-45
497,GEN 1:2,und,god,0.06149595236501601
498,GEN 1:2,und,moved,1.54658685774318e-41
499,GEN 1:2,und,upon,0.007903019105154622
500,GEN 1:2,und,the,0.14610905196998894
501,GEN 1:2,und,face,1.7752540795769687e-43
502,GEN 1:2,und,of,6.219005250822331e-45
503,GEN 1:2,und,the,0.14610905196998894
504,GEN 1:2,und,waters,2.9856139740007055e-44
505,GEN 1:2,der,and,3.281363220917859e-45
506,GEN 1:2,der,the,0.5841401280850187
507,GEN 1:2,der,earth,1.2248831178135886e-44
508,GEN 1:2,der,was,6.054029172683512e-45
509,GEN 1:2,der,without,1.54658685774318e-41
510,GEN 1:2,der,form,1.54658685774318e-41
511,GEN 1:2,der,and,3.281363220917859e-45
512,GEN 1:2,der,void,1.54658685774318e-41
513,GEN 1:2,der,and,3.281363220917859e-45
514,GEN 1:2,der,darkness,1.140359289417608e-44
515,GEN 1:2,der,was,6.054029172683512e-45
516,GEN 1:2,der,upon,1.3801748015471988e-33
517,GEN 1:2,der,the,0.5841401280850187
518,GEN 1:2,der,face,1.7752540795769687e-43
519,GEN 1:2,der,of,0.009027938736151061
520,GEN 1:2,der,the,0.5841401280850187
521,GEN 1:2,der,deep,0.08820745135700192
522,GEN 1:2,der,and,3.281363220917859e-45
523,GEN 1:2,der,the,0.5841401280850187
524,GEN 1:2,der,spirit,0.08820745135700192
525,GEN 1:2,der,of,0.009027938736151061
526,GEN 1:2,der,god,4.967283679763376e-45
527,GEN 1:2,der,moved,4.888990856305703e-11
528,GEN 1:2,der,upon,1.3801748015471988e-33
529,GEN 1:2,der,the,0.5841401280850187
530,GEN 1:2,der,face,1.7752540795769687e-43
531,GEN 1:2,der,of,0.009027938736151061
532,GEN 1:2,der,the,0.5841401280850187
533,GEN 1:2,der,waters,2.9856139740007055e-44
534,GEN 1:2,geist,and,3.565920719878654e-44
535,GEN 1:2,geist,the,1.6349241765840914e-07
536,GEN 1:2,geist,earth,3.565920719878654e-44
537,GEN 1:2,geist,was,3.565920719878654e-44
538,GEN 1:2,geist,without,1.54658685774318e-41
539,GEN 1:2,geist,form,1.54658685774318e-41
540,GEN 1:2,geist,and,3.565920719878654e-44
541,GEN 1:2,geist,void,1.54658685774318e-41
542,GEN 1:2,geist,and,3.565920719878654e-44
543,GEN 1:2,geist,darkness,3.565920719878654e-44
