,text,words,keys,values
10,"¿Acepta dinero en efectivo?
","['acepta', 'dinero', 'en', 'efectivo']","['acepta', 'dinero', 'en', 'efectivo']","['do', 'you', 'accept', 'cash']"
11,"Mi nombre es Victoria Piquer.
","['mi', 'nombre', 'es', 'victoria', 'piquer']","['mi', 'nombre', 'es', 'victoria', 'piquer']","['my', 'name', 'is', 'victoria', 'piquer']"
12,"¿Les importaría subirme los bultos a la habitación tres diez?
","['les', 'importaría', 'subirme', 'los', 'bultos', 'a', 'la', 'habitación', 'tres', 'diez']","['les', 'importaría', 'subirme', 'los', 'bultos', 'a', 'la', 'habitación', 'tres', 'diez']","['would', 'you', 'mind', 'sending', 'up', 'my', 'luggage', 'to', 'room', 'number', 'three', 'one', 'oh']"
13,"¿Aceptan dinero en efectivo?
","['aceptan', 'dinero', 'en', 'efectivo']","['aceptan', 'dinero', 'en', 'efectivo']","['do', 'you', 'accept', 'cash']"
14,"Hay una equivocación en mi cuenta.
","['hay', 'una', 'equivocación', 'en', 'mi', 'cuenta']","['hay', 'una', 'equivocación', 'en', 'mi', 'cuenta']","['there', 'is', 'a', 'mistake', 'in', 'my', 'bill']"
15,"Por favor, me detalla la cuenta.
","['por', 'favor', 'me', 'detalla', 'la', 'cuenta']","['por', 'favor', 'me', 'detalla', 'la', 'cuenta']","['could', 'you', 'explain', 'the', 'bill', 'for', 'me', 'please']"
16,"Deseo reservar una habitación doble para una noche.
","['deseo', 'reservar', 'una', 'habitación', 'doble', 'para', 'una', 'noche']","['deseo', 'reservar', 'una', 'habitación', 'doble', 'para', 'una', 'noche']","['i', 'want', 'to', 'book', 'a', 'double', 'room', 'for', 'a', 'night']"
17,"¿Tiene teléfono?
","['tiene', 'teléfono']","['tiene', 'teléfono']","['does', 'it', 'have', 'a', 'telephone']"
18,"¿Nos podrían despertar a las cinco en punto, por favor?
","['nos', 'podrían', 'despertar', 'a', 'las', 'cinco', 'en', 'punto', 'por', 'favor']","['nos', 'podrían', 'despertar', 'a', 'las', 'cinco', 'en', 'punto', 'por', 'favor']","['could', 'you', 'wake', 'us', 'up', 'at', 'five', 'oclock', 'please']"
19,"Me tengo que ir el martes siete de marzo por la mañana.
","['me', 'tengo', 'que', 'ir', 'el', 'martes', 'siete', 'de', 'marzo', 'por', 'la', 'mañana']","['me', 'tengo', 'que', 'ir', 'el', 'martes', 'siete', 'de', 'marzo', 'por', 'la', 'mañana']","['i', 'should', 'leave', 'on', 'tuesday', 'march', 'the', 'seventh', 'in', 'the', 'morning']"
20,"Hemos hecho una reserva, por favor.
","['hemos', 'hecho', 'una', 'reserva', 'por', 'favor']","['hemos', 'hecho', 'una', 'reserva', 'por', 'favor']","['we', 'have', 'made', 'a', 'reservation']"
21,"Por favor, ¿nos podrían despertar a las doce?
","['por', 'favor', 'nos', 'podrían', 'despertar', 'a', 'las', 'doce']","['por', 'favor', 'nos', 'podrían', 'despertar', 'a', 'las', 'doce']","['could', 'you', 'wake', 'us', 'up', 'at', 'twelve', 'please']"
22,"¿Nos pueden llevar nuestro equipaje al taxi?
","['nos', 'pueden', 'llevar', 'nuestro', 'equipaje', 'al', 'taxi']","['nos', 'pueden', 'llevar', 'nuestro', 'equipaje', 'al', 'taxi']","['can', 'you', 'send', 'our', 'luggage', 'to', 'the', 'taxi']"
23,"Tengo una reserva a nombre de Julia Calatayud.
","['tengo', 'una', 'reserva', 'a', 'nombre', 'de', 'julia', 'calatayud']","['tengo', 'una', 'reserva', 'a', 'nombre', 'de', 'julia', 'calatayud']","['i', 'have', 'a', 'reservation', 'for', 'julia', 'calatayud']"
24,"Por favor, tengo reservada una habitación.
","['por', 'favor', 'tengo', 'reservada', 'una', 'habitación']","['por', 'favor', 'tengo', 'reservada', 'una', 'habitación']","['i', 'have', 'booked', 'a', 'room']"
25,"Por favor, una habitación con teléfono y vistas a nombre de la señora Ramírez.
","['por', 'favor', 'una', 'habitación', 'con', 'teléfono', 'y', 'vistas', 'a', 'nombre', 'de', 'la', 'señora', 'ramírez']","['por', 'favor', 'una', 'habitación', 'con', 'teléfono', 'y', 'vistas', 'a', 'nombre', 'de', 'la', 'señora', 'ramírez']","['a', 'room', 'with', 'a', 'telephone', 'and', 'a', 'view', 'for', 'mrs', 'ramírez', 'please']"
26,"Por favor, ¿pueden subirnos ustedes las bolsas a la habitación?
","['por', 'favor', 'pueden', 'subirnos', 'ustedes', 'las', 'bolsas', 'a', 'la', 'habitación']","['por', 'favor', 'pueden', 'subirnos', 'ustedes', 'las', 'bolsas', 'a', 'la', 'habitación']","['can', 'you', 'send', 'up', 'our', 'bags', 'to', 'the', 'room', 'please']"
27,"He reservado una habitación a nombre del señor Roda.
","['he', 'reservado', 'una', 'habitación', 'a', 'nombre', 'del', 'señor', 'roda']","['he', 'reservado', 'una', 'habitación', 'a', 'nombre', 'del', 'señor', 'roda']","['i', 'have', 'booked', 'a', 'room', 'for', 'mr', 'roda']"
28,"¿Cuánto cuesta una habitación doble por día con media pensión?
","['cuánto', 'cuesta', 'una', 'habitación', 'doble', 'por', 'día', 'con', 'media', 'pensión']","['cuánto', 'cuesta', 'una', 'habitación', 'doble', 'por', 'día', 'con', 'media', 'pensión']","['how', 'much', 'does', 'a', 'double', 'room', 'with', 'half', 'board', 'cost', 'per', 'day']"
29,"¿Están apuntados en la cuenta todos los gastos?
","['están', 'apuntados', 'en', 'la', 'cuenta', 'todos', 'los', 'gastos']","['están', 'apuntados', 'en', 'la', 'cuenta', 'todos', 'los', 'gastos']","['are', 'all', 'expenses', 'included', 'in', 'the', 'bill']"
30,"Pienso que existe una equivocación.
","['pienso', 'que', 'existe', 'una', 'equivocación']","['pienso', 'que', 'existe', 'una', 'equivocación']","['i', 'think', 'that', 'there', 'is', 'a', 'mistake']"
31,"Deseamos que suba nuestra maleta a la habitación, por favor.
","['deseamos', 'que', 'suba', 'nuestra', 'maleta', 'a', 'la', 'habitación', 'por', 'favor']","['deseamos', 'que', 'suba', 'nuestra', 'maleta', 'a', 'la', 'habitación', 'por', 'favor']","['we', 'want', 'you', 'to', 'send', 'up', 'our', 'suitcase', 'to', 'the', 'room', 'please']"
32,"Desearía una habitación.
","['desearía', 'una', 'habitación']","['desearía', 'una', 'habitación']","['i', 'would', 'like', 'a', 'room']"
33,"Prepare la cuenta.
","['prepare', 'la', 'cuenta']","['prepare', 'la', 'cuenta']","['prepare', 'the', 'bill']"
34,"Quisiera una habitación doble y tranquila, por favor.
","['quisiera', 'una', 'habitación', 'doble', 'y', 'tranquila', 'por', 'favor']","['quisiera', 'una', 'habitación', 'doble', 'y', 'tranquila', 'por', 'favor']","['i', 'want', 'a', 'quiet', 'double', 'room', 'please']"
35,"Por favor, haga la cuenta.
","['por', 'favor', 'haga', 'la', 'cuenta']","['por', 'favor', 'haga', 'la', 'cuenta']","['please', 'make', 'out', 'the', 'bill']"
36,"Queremos que nos lleven nuestro equipaje a nuestra habitación, por favor.
","['queremos', 'que', 'nos', 'lleven', 'nuestro', 'equipaje', 'a', 'nuestra', 'habitación', 'por', 'favor']","['queremos', 'que', 'nos', 'lleven', 'nuestro', 'equipaje', 'a', 'nuestra', 'habitación', 'por', 'favor']","['we', 'want', 'you', 'to', 'send', 'our', 'luggage', 'to', 'our', 'room', 'please']"
37,"¿Nos podrían despertar a las siete, por favor?
","['nos', 'podrían', 'despertar', 'a', 'las', 'siete', 'por', 'favor']","['nos', 'podrían', 'despertar', 'a', 'las', 'siete', 'por', 'favor']","['could', 'you', 'wake', 'us', 'up', 'at', 'seven', 'please']"
38,"¿Podríamos ver alguna habitación?
","['podríamos', 'ver', 'alguna', 'habitación']","['podríamos', 'ver', 'alguna', 'habitación']","['could', 'we', 'see', 'a', 'room']"
39,"¿Podría despertarnos mañana a las nueve menos cuarto, por favor?
","['podría', 'despertarnos', 'mañana', 'a', 'las', 'nueve', 'menos', 'cuarto', 'por', 'favor']","['podría', 'despertarnos', 'mañana', 'a', 'las', 'nueve', 'menos', 'cuarto', 'por', 'favor']","['could', 'you', 'wake', 'us', 'up', 'tomorrow', 'at', 'a', 'quarter', 'to', 'nine', 'please']"
40,"Súbame las maletas al autobús.
","['súbame', 'las', 'maletas', 'al', 'autobús']","['súbame', 'las', 'maletas', 'al', 'autobús']","['put', 'my', 'suitcases', 'on', 'the', 'bus']"
41,"Quisiera una habitación hasta el día veinte, por favor.
","['quisiera', 'una', 'habitación', 'hasta', 'el', 'día', 'veinte', 'por', 'favor']","['quisiera', 'una', 'habitación', 'hasta', 'el', 'día', 'veinte', 'por', 'favor']","['i', 'want', 'a', 'room', 'until', 'the', 'twentieth', 'please']"
42,"¿Podríamos reservar dos habitaciones?
","['podríamos', 'reservar', 'dos', 'habitaciones']","['podríamos', 'reservar', 'dos', 'habitaciones']","['could', 'we', 'book', 'two', 'rooms']"
43,"¿Hay alguna habitación tranquila libre?
","['hay', 'alguna', 'habitación', 'tranquila', 'libre']","['hay', 'alguna', 'habitación', 'tranquila', 'libre']","['is', 'there', 'a', 'quiet', 'room', 'available']"
44,"Tengo reservada una habitación tranquila con televisión y una buena vista de la montaña a nombre de Rosario Cantero.
","['tengo', 'reservada', 'una', 'habitación', 'tranquila', 'con', 'televisión', 'y', 'una', 'buena', 'vista', 'de', 'la', 'montaña', 'a', 'nombre', 'de', 'rosario', 'cantero']","['tengo', 'reservada', 'una', 'habitación', 'tranquila', 'con', 'televisión', 'y', 'una', 'buena', 'vista', 'de', 'la', 'montaña', 'a', 'nombre', 'de', 'rosario', 'cantero']","['i', 'have', 'booked', 'a', 'quiet', 'room', 'with', 'a', 'tv', 'and', 'a', 'good', 'view', 'of', 'the', 'mountain', 'for', 'rosario', 'cantero']"
45,"¿Tiene libre una habitación doble?
","['tiene', 'libre', 'una', 'habitación', 'doble']","['tiene', 'libre', 'una', 'habitación', 'doble']","['do', 'you', 'have', 'a', 'double', 'room', 'available']"
46,"Hice una reserva, por favor.
","['hice', 'una', 'reserva', 'por', 'favor']","['hice', 'una', 'reserva', 'por', 'favor']","['i', 'made', 'a', 'reservation']"
47,"¿Está apuntado el recibo del teléfono?
","['está', 'apuntado', 'el', 'recibo', 'del', 'teléfono']","['está', 'apuntado', 'el', 'recibo', 'del', 'teléfono']","['is', 'the', 'phone', 'bill', 'included']"
48,"¿Puede darnos usted la llave de la habitación número dos nueve cuatro, por favor?
","['puede', 'darnos', 'usted', 'la', 'llave', 'de', 'la', 'habitación', 'número', 'dos', 'nueve', 'cuatro', 'por', 'favor']","['puede', 'darnos', 'usted', 'la', 'llave', 'de', 'la', 'habitación', 'número', 'dos', 'nueve', 'cuatro', 'por', 'favor']","['can', 'you', 'give', 'us', 'the', 'key', 'to', 'room', 'number', 'two', 'nine', 'four', 'please']"
49,"¿Podría llamar a un taxi?
","['podría', 'llamar', 'a', 'un', 'taxi']","['podría', 'llamar', 'a', 'un', 'taxi']","['could', 'you', 'call', 'a', 'taxi', 'please']"
50,"La habitación es muy fría.
","['la', 'habitación', 'es', 'muy', 'fría']","['la', 'habitación', 'es', 'muy', 'fría']","['the', 'room', 'is', 'very', 'cold']"
51,"He hecho una reserva.
","['he', 'hecho', 'una', 'reserva']","['he', 'hecho', 'una', 'reserva']","['i', 'have', 'made', 'a', 'reservation']"
52,"¿Le importaría mostrarnos otra habitación?
","['le', 'importaría', 'mostrarnos', 'otra', 'habitación']","['le', 'importaría', 'mostrarnos', 'otra', 'habitación']","['would', 'you', 'mind', 'showing', 'us', 'another', 'room']"
53,"Quisiéramos que subiese nuestras maletas a nuestra habitación.
","['quisiéramos', 'que', 'subiese', 'nuestras', 'maletas', 'a', 'nuestra', 'habitación']","['quisiéramos', 'que', 'subiese', 'nuestras', 'maletas', 'a', 'nuestra', 'habitación']","['we', 'would', 'like', 'you', 'to', 'send', 'up', 'our', 'suitcases', 'to', 'our', 'room']"
54,"¿Podría cambiarnos de habitación?
","['podría', 'cambiarnos', 'de', 'habitación']","['podría', 'cambiarnos', 'de', 'habitación']","['can', 'you', 'change', 'our', 'room']"
55,"¿Me quieren llamar a un taxi?
","['me', 'quieren', 'llamar', 'a', 'un', 'taxi']","['me', 'quieren', 'llamar', 'a', 'un', 'taxi']","['will', 'you', 'call', 'a', 'taxi', 'for', 'me', 'please']"
56,"La habitación es demasiado calurosa.
","['la', 'habitación', 'es', 'demasiado', 'calurosa']","['la', 'habitación', 'es', 'demasiado', 'calurosa']","['the', 'room', 'is', 'too', 'hot']"
57,"¿Le importaría subirme las bolsas de viaje a la habitación?
","['le', 'importaría', 'subirme', 'las', 'bolsas', 'de', 'viaje', 'a', 'la', 'habitación']","['le', 'importaría', 'subirme', 'las', 'bolsas', 'de', 'viaje', 'a', 'la', 'habitación']","['would', 'you', 'mind', 'sending', 'up', 'my', 'travel', 'bags', 'to', 'the', 'room']"
58,"Desearía reservar una habitación con aire acondicionado para veinte días, por favor.
","['desearía', 'reservar', 'una', 'habitación', 'con', 'aire', 'acondicionado', 'para', 'veinte', 'días', 'por', 'favor']","['desearía', 'reservar', 'una', 'habitación', 'con', 'aire', 'acondicionado', 'para', 'veinte', 'días', 'por', 'favor']","['i', 'would', 'like', 'to', 'book', 'a', 'room', 'with', 'air', 'conditioning', 'for', 'twenty', 'days', 'please']"
59,"Por favor, ¿podría ver alguna habitación tranquila?
","['por', 'favor', 'podría', 'ver', 'alguna', 'habitación', 'tranquila']","['por', 'favor', 'podría', 'ver', 'alguna', 'habitación', 'tranquila']","['could', 'i', 'see', 'a', 'quiet', 'room', 'please']"
60,"Despiérteme a las dos y cuarto.
","['despiérteme', 'a', 'las', 'dos', 'y', 'cuarto']","['despiérteme', 'a', 'las', 'dos', 'y', 'cuarto']","['wake', 'me', 'up', 'at', 'a', 'quarter', 'past', 'two']"
61,"¿Podríamos ver una habitación, por favor?
","['podríamos', 'ver', 'una', 'habitación', 'por', 'favor']","['podríamos', 'ver', 'una', 'habitación', 'por', 'favor']","['could', 'we', 'see', 'a', 'room', 'please']"
62,"Tengo reservada una habitación hasta el próximo viernes, por favor.
","['tengo', 'reservada', 'una', 'habitación', 'hasta', 'el', 'próximo', 'viernes', 'por', 'favor']","['tengo', 'reservada', 'una', 'habitación', 'hasta', 'el', 'próximo', 'viernes', 'por', 'favor']","['i', 'have', 'booked', 'a', 'room', 'until', 'next', 'friday']"
63,"Voy a marcharme el viernes.
","['voy', 'a', 'marcharme', 'el', 'viernes']","['voy', 'a', 'marcharme', 'el', 'viernes']","['i', 'am', 'leaving', 'on', 'friday']"
64,"Déme la llave de la habitación número uno cuatro nueve, por favor.
","['déme', 'la', 'llave', 'de', 'la', 'habitación', 'número', 'uno', 'cuatro', 'nueve', 'por', 'favor']","['déme', 'la', 'llave', 'de', 'la', 'habitación', 'número', 'uno', 'cuatro', 'nueve', 'por', 'favor']","['give', 'me', 'the', 'key', 'to', 'room', 'number', 'one', 'four', 'nine', 'please']"
65,"Me voy a ir hoy mismo a las ocho de la mañana.
","['me', 'voy', 'a', 'ir', 'hoy', 'mismo', 'a', 'las', 'ocho', 'de', 'la', 'mañana']","['me', 'voy', 'a', 'ir', 'hoy', 'mismo', 'a', 'las', 'ocho', 'de', 'la', 'mañana']","['i', 'am', 'leaving', 'today', 'at', 'eight', 'in', 'the', 'morning']"
66,"Tengo hecha la reserva de una habitación con buena vista de la montaña y cuarto de baño a nombre de Pilar Jiménez.
","['tengo', 'hecha', 'la', 'reserva', 'de', 'una', 'habitación', 'con', 'buena', 'vista', 'de', 'la', 'montaña', 'y', 'cuarto', 'de', 'baño', 'a', 'nombre', 'de', 'pilar', 'jiménez']","['tengo', 'hecha', 'la', 'reserva', 'de', 'una', 'habitación', 'con', 'buena', 'vista', 'de', 'la', 'montaña', 'y', 'cuarto', 'de', 'baño', 'a', 'nombre', 'de', 'pilar', 'jiménez']","['i', 'have', 'made', 'a', 'reservation', 'for', 'a', 'room', 'with', 'a', 'good', 'view', 'of', 'the', 'mountain', 'and', 'a', 'bathroom', 'for', 'pilar', 'jiménez']"
67,"Por favor, repase la factura.
","['por', 'favor', 'repase', 'la', 'factura']","['por', 'favor', 'repase', 'la', 'factura']","['please', 'check', 'the', 'bill']"
68,"¿Tiene alguna habitación libre con televisión, aire acondicionado y servicio de bar?
","['tiene', 'alguna', 'habitación', 'libre', 'con', 'televisión', 'aire', 'acondicionado', 'y', 'servicio', 'de', 'bar']","['tiene', 'alguna', 'habitación', 'libre', 'con', 'televisión', 'aire', 'acondicionado', 'y', 'servicio', 'de', 'bar']","['do', 'you', 'have', 'a', 'room', 'with', 'a', 'tv', 'air', 'conditioning', 'and', 'a', 'minibar', 'available']"
69,"¿Me podrían despertar mañana a las dos en punto?
","['me', 'podrían', 'despertar', 'mañana', 'a', 'las', 'dos', 'en', 'punto']","['me', 'podrían', 'despertar', 'mañana', 'a', 'las', 'dos', 'en', 'punto']","['could', 'you', 'wake', 'me', 'up', 'tomorrow', 'at', 'two', 'oclock']"
70,"Hemos reservado una habitación doble hasta pasado mañana.
","['hemos', 'reservado', 'una', 'habitación', 'doble', 'hasta', 'pasado', 'mañana']","['hemos', 'reservado', 'una', 'habitación', 'doble', 'hasta', 'pasado', 'mañana']","['we', 'have', 'booked', 'a', 'double', 'room', 'until', 'the', 'day', 'after', 'tomorrow']"
71,"Por favor, ¿me podría llamar a un taxi?
","['por', 'favor', 'me', 'podría', 'llamar', 'a', 'un', 'taxi']","['por', 'favor', 'me', 'podría', 'llamar', 'a', 'un', 'taxi']","['could', 'you', 'call', 'a', 'taxi', 'for', 'me', 'please']"
72,"Por favor, quisiera que me despertara mañana a las cuatro.
","['por', 'favor', 'quisiera', 'que', 'me', 'despertara', 'mañana', 'a', 'las', 'cuatro']","['por', 'favor', 'quisiera', 'que', 'me', 'despertara', 'mañana', 'a', 'las', 'cuatro']","['i', 'would', 'like', 'you', 'to', 'wake', 'me', 'up', 'tomorrow', 'at', 'four', 'please']"
73,"Quiero una habitación para una noche, por favor.
","['quiero', 'una', 'habitación', 'para', 'una', 'noche', 'por', 'favor']","['quiero', 'una', 'habitación', 'para', 'una', 'noche', 'por', 'favor']","['i', 'want', 'a', 'room', 'for', 'a', 'night', 'please']"
74,"¿Podría pedirnos un taxi?, por favor.
","['podría', 'pedirnos', 'un', 'taxi', 'por', 'favor']","['podría', 'pedirnos', 'un', 'taxi', 'por', 'favor']","['could', 'you', 'ask', 'for', 'a', 'taxi', 'for', 'us', 'please']"
75,"Deseo reservar una habitación individual para veinticinco noches.
","['deseo', 'reservar', 'una', 'habitación', 'individual', 'para', 'veinticinco', 'noches']","['deseo', 'reservar', 'una', 'habitación', 'individual', 'para', 'veinticinco', 'noches']","['i', 'want', 'to', 'book', 'a', 'single', 'room', 'for', 'twentyfive', 'nights']"
76,"Tengo una reserva.
","['tengo', 'una', 'reserva']","['tengo', 'una', 'reserva']","['i', 'have', 'a', 'reservation']"
77,"¿A qué día estamos?
","['a', 'qué', 'día', 'estamos']","['a', 'qué', 'día', 'estamos']","['what', 'is', 'the', 'date']"
78,"Por favor, haga la cuenta.
","['por', 'favor', 'haga', 'la', 'cuenta']","['por', 'favor', 'haga', 'la', 'cuenta']","['please', 'make', 'out', 'the', 'bill']"
79,"Tengo reservada una habitación individual.
","['tengo', 'reservada', 'una', 'habitación', 'individual']","['tengo', 'reservada', 'una', 'habitación', 'individual']","['i', 'have', 'booked', 'a', 'single', 'room']"
80,"Por favor, reservé una habitación a nombre del señor y la señora Tena.
","['por', 'favor', 'reservé', 'una', 'habitación', 'a', 'nombre', 'del', 'señor', 'y', 'la', 'señora', 'tena']","['por', 'favor', 'reservé', 'una', 'habitación', 'a', 'nombre', 'del', 'señor', 'y', 'la', 'señora', 'tena']","['i', 'booked', 'a', 'room', 'for', 'mr', 'and', 'mrs', 'tena']"
81,"Hemos hecho una reserva, por favor.
","['hemos', 'hecho', 'una', 'reserva', 'por', 'favor']","['hemos', 'hecho', 'una', 'reserva', 'por', 'favor']","['we', 'have', 'made', 'a', 'reservation']"
82,"¿Está todo?
","['está', 'todo']","['está', 'todo']","['is', 'everything', 'included']"
83,"Por favor, nos llama a un taxi.
","['por', 'favor', 'nos', 'llama', 'a', 'un', 'taxi']","['por', 'favor', 'nos', 'llama', 'a', 'un', 'taxi']","['could', 'you', 'call', 'a', 'taxi', 'for', 'us', 'please']"
84,"Lleve nuestro equipaje.
","['lleve', 'nuestro', 'equipaje']","['lleve', 'nuestro', 'equipaje']","['carry', 'our', 'luggage']"
85,"¿Les importaría darnos la llave de la habitación?
","['les', 'importaría', 'darnos', 'la', 'llave', 'de', 'la', 'habitación']","['les', 'importaría', 'darnos', 'la', 'llave', 'de', 'la', 'habitación']","['would', 'you', 'mind', 'giving', 'us', 'the', 'key', 'to', 'the', 'room']"
86,"Hice la reserva de una habitación doble a nombre de Miguel Ramírez.
","['hice', 'la', 'reserva', 'de', 'una', 'habitación', 'doble', 'a', 'nombre', 'de', 'miguel', 'ramírez']","['hice', 'la', 'reserva', 'de', 'una', 'habitación', 'doble', 'a', 'nombre', 'de', 'miguel', 'ramírez']","['i', 'made', 'a', 'reservation', 'for', 'a', 'double', 'room', 'for', 'miguel', 'ramírez']"
87,"Por favor, hemos reservado una habitación tranquila.
","['por', 'favor', 'hemos', 'reservado', 'una', 'habitación', 'tranquila']","['por', 'favor', 'hemos', 'reservado', 'una', 'habitación', 'tranquila']","['we', 'have', 'booked', 'a', 'quiet', 'room']"
88,"Por favor, ¿me puede dar la llave de la habitación?
","['por', 'favor', 'me', 'puede', 'dar', 'la', 'llave', 'de', 'la', 'habitación']","['por', 'favor', 'me', 'puede', 'dar', 'la', 'llave', 'de', 'la', 'habitación']","['can', 'you', 'give', 'me', 'the', 'key', 'to', 'the', 'room', 'please']"
89,"¿Está apuntado el recibo del teléfono?
","['está', 'apuntado', 'el', 'recibo', 'del', 'teléfono']","['está', 'apuntado', 'el', 'recibo', 'del', 'teléfono']","['is', 'the', 'phone', 'bill', 'included']"
90,"Por favor, hice una reserva.
","['por', 'favor', 'hice', 'una', 'reserva']","['por', 'favor', 'hice', 'una', 'reserva']","['i', 'made', 'a', 'reservation']"
91,"Quiero una habitación con aire acondicionado para hoy.
","['quiero', 'una', 'habitación', 'con', 'aire', 'acondicionado', 'para', 'hoy']","['quiero', 'una', 'habitación', 'con', 'aire', 'acondicionado', 'para', 'hoy']","['i', 'want', 'a', 'room', 'with', 'air', 'conditioning', 'for', 'today']"
92,"¿Le importaría cambiarme de habitación?
","['le', 'importaría', 'cambiarme', 'de', 'habitación']","['le', 'importaría', 'cambiarme', 'de', 'habitación']","['would', 'you', 'mind', 'changing', 'my', 'room']"
93,"Tenemos reservadas dos habitaciones con teléfono, por favor.
","['tenemos', 'reservadas', 'dos', 'habitaciones', 'con', 'teléfono', 'por', 'favor']","['tenemos', 'reservadas', 'dos', 'habitaciones', 'con', 'teléfono', 'por', 'favor']","['we', 'have', 'booked', 'two', 'rooms', 'with', 'a', 'telephone']"
94,"Por favor, reservé una habitación doble con teléfono para hoy.
","['por', 'favor', 'reservé', 'una', 'habitación', 'doble', 'con', 'teléfono', 'para', 'hoy']","['por', 'favor', 'reservé', 'una', 'habitación', 'doble', 'con', 'teléfono', 'para', 'hoy']","['i', 'booked', 'a', 'double', 'room', 'with', 'a', 'telephone', 'for', 'today']"
95,"¿Hay aire acondicionado en mi habitación, por favor?
","['hay', 'aire', 'acondicionado', 'en', 'mi', 'habitación', 'por', 'favor']","['hay', 'aire', 'acondicionado', 'en', 'mi', 'habitación', 'por', 'favor']","['is', 'there', 'air', 'conditioning', 'in', 'my', 'room', 'please']"
96,"He reservado una habitación.
","['he', 'reservado', 'una', 'habitación']","['he', 'reservado', 'una', 'habitación']","['i', 'have', 'booked', 'a', 'room']"
97,"¿Le importaría llevarnos las bolsas de viaje a la estación?
","['le', 'importaría', 'llevarnos', 'las', 'bolsas', 'de', 'viaje', 'a', 'la', 'estación']","['le', 'importaría', 'llevarnos', 'las', 'bolsas', 'de', 'viaje', 'a', 'la', 'estación']","['would', 'you', 'mind', 'sending', 'the', 'travel', 'bags', 'to', 'the', 'station']"
98,"He reservado una habitación doble tranquila a nombre de Enrique Velasco.
","['he', 'reservado', 'una', 'habitación', 'doble', 'tranquila', 'a', 'nombre', 'de', 'enrique', 'velasco']","['he', 'reservado', 'una', 'habitación', 'doble', 'tranquila', 'a', 'nombre', 'de', 'enrique', 'velasco']","['i', 'have', 'booked', 'a', 'quiet', 'double', 'room', 'for', 'enrique', 'velasco']"
