source,target,co-occurrence_count,translation_score
morgen,",",1,0.0
morgen,.,2,0.0
morgen,and,4,0.0
morgen,called,2,0.0
morgen,darkness,1,0.0
morgen,day,2,0.0
morgen,evening,1,0.0
morgen,first,1,0.0
morgen,god,1,0.0
morgen,he,1,0.0
morgen,light,1,0.0
morgen,morning,1,0.3423
morgen,night,1,0.0
morgen,the,5,0.03412
morgen,were,1,0.3386
nacht,",",1,0.0
nacht,.,2,0.0
nacht,and,4,0.0
nacht,called,2,0.0
nacht,darkness,1,0.0
nacht,day,2,0.0
nacht,evening,1,0.0
nacht,first,1,0.0
nacht,god,1,0.0
nacht,he,1,0.8135
nacht,light,1,0.0
nacht,morning,1,0.0
nacht,night,1,0.0
nacht,the,5,0.03394
nacht,were,1,0.0
nannte,",",1,0.0
nannte,.,2,0.0
nannte,and,4,0.0
nannte,called,2,0.9165
nannte,darkness,1,0.0
nannte,day,2,0.0
nannte,evening,1,0.0
nannte,first,1,0.0
nannte,god,1,0.0
nannte,he,1,0.0
nannte,light,1,0.0
nannte,morning,1,0.0
nannte,night,1,0.0
nannte,the,5,0.0
nannte,were,1,0.0
sah,",",1,0.0
sah,.,1,0.0
sah,:,1,0.0
sah,and,2,0.0
sah,darkness,1,0.0
sah,divided,1,0.0
sah,from,1,0.0
sah,god,2,0.0
sah,good,1,0.0
sah,it,1,0.0
sah,light,2,0.0
sah,saw,1,0.8135
sah,that,1,0.0
sah,the,3,0.0
sah,was,1,0.0
schied,",",1,0.0
schied,.,1,0.0
schied,:,1,0.0
schied,and,2,0.0
schied,darkness,1,0.0
schied,divided,1,0.8135
schied,from,1,0.0
schied,god,2,0.0
schied,good,1,0.0
schied,it,1,0.0
schied,light,2,0.0
schied,saw,1,0.0
schied,that,1,0.0
schied,the,3,0.0
schied,was,1,0.0
schuf,.,1,0.0
schuf,and,1,0.0
schuf,beginning,1,0.0
schuf,created,1,0.8975
schuf,earth,1,0.0
schuf,god,1,0.0
schuf,heaven,1,0.0
schuf,in,1,0.0
schuf,the,3,0.0
schwebte,",",1,0.0
schwebte,.,2,0.0
schwebte,;,1,0.0
schwebte,and,4,0.0
schwebte,darkness,1,0.0
schwebte,deep,1,0.0
schwebte,earth,1,0.0
schwebte,face,2,0.0
schwebte,form,1,0.0
schwebte,god,1,0.0
schwebte,moved,1,0.0
schwebte,of,3,0.0
schwebte,spirit,1,0.0
schwebte,the,6,0.03397
schwebte,upon,2,0.0
schwebte,void,1,0.0
schwebte,was,2,0.0
schwebte,waters,1,0.0
schwebte,without,1,0.0
sprach,",",1,0.0
sprach,.,1,0.0
sprach,:,1,0.0
sprach,and,2,0.0
sprach,be,1,0.0
sprach,god,1,0.0
sprach,let,1,0.0
sprach,light,2,0.0
sprach,said,1,0.872
sprach,there,2,0.0
sprach,was,1,0.0
tag,",",1,0.0
tag,.,2,0.0
tag,and,4,0.0
tag,called,2,0.0
tag,darkness,1,0.0
tag,day,2,0.917
tag,evening,1,0.0
tag,first,1,0.0
tag,god,1,0.0
tag,he,1,0.0
tag,light,1,0.0
tag,morning,1,0.0
tag,night,1,0.0
tag,the,5,0.0
tag,were,1,0.0
tiefe,",",1,0.0
tiefe,.,2,0.0
tiefe,;,1,0.0
tiefe,and,4,0.0
tiefe,darkness,1,0.0
tiefe,deep,1,0.0
tiefe,earth,1,0.0
tiefe,face,2,0.0
tiefe,form,1,0.0
tiefe,god,1,0.0
tiefe,moved,1,0.0
tiefe,of,3,0.0
tiefe,spirit,1,0.0
tiefe,the,6,0.03412
tiefe,upon,2,0.0
tiefe,void,1,0.0
tiefe,was,2,0.0
tiefe,waters,1,0.0
tiefe,without,1,0.0
und,",",4,0.3943
und,.,7,0.0
und,:,2,0.0
und,;,1,0.02744
und,and,13,0.3938
und,be,1,0.0
und,beginning,1,0.0
und,called,2,0.0
und,created,1,0.0
und,darkness,3,0.02641
und,day,2,0.0
und,deep,1,0.0
und,divided,1,0.0
und,earth,2,0.0
und,evening,1,0.0
und,face,2,0.0
und,first,1,0.0
und,form,1,0.02744
und,from,1,0.0
und,god,6,0.04773
und,good,1,0.0
und,he,1,0.0
und,heaven,1,0.0
und,in,1,0.0
und,it,1,0.0
und,let,1,0.0
und,light,5,0.0
und,morning,1,0.0
und,moved,1,0.0
und,night,1,0.0
und,of,3,0.0
und,said,1,0.0
und,saw,1,0.0
und,spirit,1,0.0
und,that,1,0.0
und,the,17,0.1016
und,there,2,0.0
und,upon,2,0.0
und,void,1,0.02744
und,was,4,2.6e-06
und,waters,1,0.0
und,were,1,0.0
und,without,1,0.0273
von,",",1,0.0
von,.,1,0.0
von,:,1,0.0
von,and,2,0.0
von,darkness,1,0.0
von,divided,1,0.0
von,from,1,0.8135
von,god,2,0.0
von,good,1,0.0
von,it,1,0.0
von,light,2,0.0
von,saw,1,0.0
von,that,1,0.0
von,the,3,0.0
von,was,1,0.0
war,",",2,0.0
war,.,3,0.0
war,:,1,0.0
war,;,1,0.0
war,and,6,3.37e-05
war,darkness,2,0.0
war,deep,1,0.0
war,divided,1,0.0
war,earth,1,0.0
war,face,2,0.0
war,form,1,0.0
war,from,1,0.0
war,god,3,0.0
war,good,1,0.002432
war,it,1,0.0
war,light,2,0.0
war,moved,1,0.0
war,of,3,0.0
war,saw,1,0.0
war,spirit,1,0.0
war,that,1,0.0
war,the,9,0.0
war,upon,2,0.0
war,void,1,0.0
war,was,3,0.8
war,waters,1,0.0
war,without,1,0.0
ward,",",2,0.0
ward,.,3,0.0
ward,:,1,0.0
ward,and,6,0.0891
ward,be,1,0.0
ward,called,2,0.0
ward,darkness,1,0.0
ward,day,2,0.0
ward,evening,1,0.0
ward,first,1,0.0
ward,god,2,0.0
ward,he,1,0.0
ward,let,1,0.0
ward,light,3,0.0
ward,morning,1,0.0
ward,night,1,0.0
ward,said,1,0.0
ward,the,5,0.0
ward,there,2,0.000938
ward,was,1,0.0
ward,were,1,0.0
wasser,",",1,0.0
wasser,.,2,0.0
wasser,;,1,0.0
wasser,and,4,0.0
wasser,darkness,1,0.0
wasser,deep,1,0.0
wasser,earth,1,0.0
wasser,face,2,0.0
wasser,form,1,0.0
wasser,god,1,0.0
wasser,moved,1,0.0
wasser,of,3,0.0
wasser,spirit,1,0.0
wasser,the,6,0.03323
wasser,upon,2,0.0
wasser,void,1,0.0
wasser,was,2,0.0
wasser,waters,1,0.772
wasser,without,1,0.0
werde,",",1,0.0
werde,.,1,0.0
werde,:,1,0.0
werde,and,2,0.0
werde,be,1,0.8594
werde,god,1,0.0
werde,let,1,0.0
werde,light,2,0.0
werde,said,1,0.0
werde,there,2,1.144e-05
werde,was,1,0.0
wüst,",",1,0.0
wüst,.,2,0.0
wüst,;,1,0.0
wüst,and,4,0.037
wüst,darkness,1,0.0
wüst,deep,1,0.0
wüst,earth,1,0.0
wüst,face,2,0.0
wüst,form,1,0.0
wüst,god,1,0.0
wüst,moved,1,0.0
wüst,of,3,0.0
wüst,spirit,1,0.0
wüst,the,6,0.0
wüst,upon,2,0.0
wüst,void,1,0.0
wüst,was,2,0.0
wüst,waters,1,0.0
wüst,without,1,0.0
