vref,target,reference
GEN 40:14,"But think on me when it shall be well with thee, and shew kindness, I pray thee, unto me, and make mention of me unto Pharaoh, and bring me out of this house:","But think on me when it shall be well with thee, and shew kindness, I pray thee, unto me, and make mention of me unto Pharaoh, and bring me out of this house:"
GEN 40:15,For indeed I was stolen away out of the land of the Hebrews: and here also have I done nothing that they should put me into the dungeon.,For indeed I was stolen away out of the land of the Hebrews: and here also have I done nothing that they should put me into the dungeon.
GEN 40:16,"When the chief baker saw that the interpretation was good, he said unto Joseph, I also was in my dream, and, behold, I had three white baskets on my head:","When the chief baker saw that the interpretation was good, he said unto Joseph, I also was in my dream, and, behold, I had three white baskets on my head:"
GEN 40:17,And in the uppermost basket there was of all manner of bakemeats for Pharaoh; and the birds did eat them out of the basket upon my head.,And in the uppermost basket there was of all manner of bakemeats for Pharaoh; and the birds did eat them out of the basket upon my head.
GEN 40:18,"And Joseph answered and said, This is the interpretation thereof: The three baskets are three days:","And Joseph answered and said, This is the interpretation thereof: The three baskets are three days:"
GEN 40:19,"Yet within three days shall Pharaoh lift up thy head from off thee, and shall hang thee on a tree; and the birds shall eat thy flesh from off thee.","Yet within three days shall Pharaoh lift up thy head from off thee, and shall hang thee on a tree; and the birds shall eat thy flesh from off thee."
GEN 40:20,"¶ And it came to pass the third day, which was Pharaoh’s birthday, that he made a feast unto all his servants: and he lifted up the head of the chief butler and of the chief baker among his servants.","¶ And it came to pass the third day, which was Pharaoh’s birthday, that he made a feast unto all his servants: and he lifted up the head of the chief butler and of the chief baker among his servants."
GEN 40:21,And he restored the chief butler unto his butlership again; and he gave the cup into Pharaoh’s hand:,And he restored the chief butler unto his butlership again; and he gave the cup into Pharaoh’s hand:
GEN 40:22,But he hanged the chief baker: as Joseph had interpreted to them.,But he hanged the chief baker: as Joseph had interpreted to them.
GEN 40:23,"Yet did not the chief butler remember Joseph, but forgat him.","Yet did not the chief butler remember Joseph, but forgat him."
GEN 41:1,"And it came to pass at the end of two full years, that Pharaoh dreamed: and, behold, he stood by the river.","And it came to pass at the end of two full years, that Pharaoh dreamed: and, behold, he stood by the river."
GEN 41:2,"And, behold, there came up out of the river seven well favoured kine and fatfleshed; and they fed in a meadow.","And, behold, there came up out of the river seven well favoured kine and fatfleshed; and they fed in a meadow."
GEN 41:3,"And, behold, seven other kine came up after them out of the river, ill favoured and leanfleshed; and stood by the other kine upon the brink of the river.","And, behold, seven other kine came up after them out of the river, ill favoured and leanfleshed; and stood by the other kine upon the brink of the river."
GEN 41:4,And the ill favoured and leanfleshed kine did eat up the seven well favoured and fat kine. So Pharaoh awoke.,And the ill favoured and leanfleshed kine did eat up the seven well favoured and fat kine. So Pharaoh awoke.
GEN 41:5,"And he slept and dreamed the second time: and, behold, seven ears of corn came up upon one stalk, rank and good.","And he slept and dreamed the second time: and, behold, seven ears of corn came up upon one stalk, rank and good."
GEN 41:6,"And, behold, seven thin ears and blasted with the east wind sprung up after them.","And, behold, seven thin ears and blasted with the east wind sprung up after them."
GEN 41:7,"And the seven thin ears devoured the seven rank and full ears. And Pharaoh awoke, and, behold, it was a dream.","And the seven thin ears devoured the seven rank and full ears. And Pharaoh awoke, and, behold, it was a dream."
GEN 41:8,"And it came to pass in the morning that his spirit was troubled; and he sent and called for all the magicians of Egypt, and all the wise men thereof: and Pharaoh told them his dream; but there was none that could interpret them unto Pharaoh.","And it came to pass in the morning that his spirit was troubled; and he sent and called for all the magicians of Egypt, and all the wise men thereof: and Pharaoh told them his dream; but there was none that could interpret them unto Pharaoh."
